Time (s),Amplitude (V)
0.0000000000e+00,1.5627087693e-01
1.0000000000e-07,1.0490517603e-02
2.0000000000e-07,-4.6654239068e-02
3.0000000000e-07,4.2025609515e-02
4.0000000000e-07,1.3456687481e-01
5.0000000000e-07,3.7469932904e-02
6.0000000000e-07,2.6687562297e-02
7.0000000000e-07,8.9180154432e-02
8.0000000000e-07,-1.6494352816e-02
9.0000000000e-07,3.6455528594e-03
1.0000000000e-06,-9.0017167831e-02
1.1000000000e-06,-4.8040731647e-02
1.2000000000e-06,4.0328765797e-03
1.3000000000e-06,-1.4123317759e-01
1.4000000000e-06,5.0328907602e-02
1.5000000000e-06,-3.6819632045e-02
1.6000000000e-06,-1.6931677461e-01
1.7000000000e-06,1.1553989975e-01
1.8000000000e-06,-5.1565735891e-02
1.9000000000e-06,-1.6430949460e-01
2.0000000000e-06,1.7209993920e-01
2.1000000000e-06,-2.6550385052e-01
2.2000000000e-06,-2.1707205118e-02
2.3000000000e-06,5.2969434753e-02
2.4000000000e-06,-1.6520022652e-02
2.5000000000e-06,-1.0443638639e-01
2.6000000000e-06,-1.5802607634e-02
2.7000000000e-06,6.7442355191e-02
2.8000000000e-06,-8.6068240996e-02
2.9000000000e-06,9.3492015144e-02
3.0000000000e-06,-1.0706430222e-01
3.1000000000e-06,-6.0408922781e-02
3.2000000000e-06,-1.2117615657e-02
3.3000000000e-06,6.7351017002e-02
3.4000000000e-06,1.7751549927e-01
3.5000000000e-06,1.0588666687e-02
3.6000000000e-06,-6.5031105716e-02
3.7000000000e-06,-5.1505345809e-02
3.8000000000e-06,1.5473995861e-01
3.9000000000e-06,4.8270784999e-02
4.0000000000e-06,-1.2398266505e-01
4.1000000000e-06,-9.2491345584e-02
4.2000000000e-06,5.0415718830e-02
4.3000000000e-06,-1.3173685872e-01
4.4000000000e-06,3.7520593315e-02
4.5000000000e-06,1.2518740719e-02
4.6000000000e-06,1.0743376921e-01
4.7000000000e-06,6.9183710538e-02
4.8000000000e-06,1.5425507143e-01
4.9000000000e-06,-1.7865942620e-01
5.0000000000e-06,-9.8707244769e-02
5.1000000000e-06,6.6276223610e-02
5.2000000000e-06,1.1520813881e-01
5.3000000000e-06,1.8274357240e-01
5.4000000000e-06,-4.9627561310e-02
5.5000000000e-06,-1.2511070830e-01
5.6000000000e-06,-5.6290554243e-02
5.7000000000e-06,6.2958442656e-02
5.8000000000e-06,9.6402513909e-02
5.9000000000e-06,-6.7598784945e-02
6.0000000000e-06,5.8936842629e-02
6.1000000000e-06,-3.5590000870e-02
6.2000000000e-06,7.5176788498e-02
6.3000000000e-06,-1.6672631895e-01
6.4000000000e-06,1.6112071647e-01
6.5000000000e-06,4.1143089073e-02
6.6000000000e-06,1.0218142004e-01
6.7000000000e-06,-2.2518517548e-02
